"gameID","season","date","team name","player id","player name","batting_g","pitching_g","h","ab","r","rbi","bb","so","lob","doubles","triples","hr","sb","hbp","sac","sf","pitcher_ip","pitcher_h","pitcher_r","pitcher_er","pitcher_bb","pitcher_so","pitcher_hr","pitcher_hbp","pitcher_gs","pitcher_w","pitcher_l","pitcher_sv","pitcher_cg","pitcher_sho","status","sub","number","position"
"3723","2016","2016-05-24","Rainbow Graphics","2385","Eric Anderson","1","0","","5","","2","","1","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","3163","Mario Fontanella","1","0","2","4","2","1","1","","","1","","","","1","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","2864","Mark DiTommaso","1","1","1","3","1","1","2","1","","1","","","","","","","4","3","1","1","1","4","","","1","1","","","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","2397","Evan Chamberlain","1","0","","3","","","","1","","","","","","1","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","2527","Angel Davila","1","0","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","3162","McLane Hill","1","0","1","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","3161","Greg Kraucunas","1","1","1","1","","","","","","","","","","","","","3","3","3","","1","3","","","","","","1","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","2392","Tyler Repoli","1","0","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","2453","Travis Salois","1","0","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","3729","Josh Martinez","1","0","1","1","3","","2","","","","","","2","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","Rainbow Graphics","3184","Jonathan Frank","1","0","1","4","1","1","","2","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","East Hartford Jets","3483","Luke Foran","1","0","1","3","2","","1","2","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","East Hartford Jets","3484","Tony Bayron","1","0","1","4","","","","1","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","East Hartford Jets","3485","Tom Coppinger","1","0","2","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","East Hartford Jets","2494","Manny Alejandro","1","0","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","East Hartford Jets","3724","Chris Gagne","1","0","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","East Hartford Jets","3142","Ricky Brown","1","0","1","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","East Hartford Jets","3486","Steve DeRosa","1","0","","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","East Hartford Jets","3542","Freddy Cruz","1","0","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","lineup","0","",""
"3723","2016","2016-05-24","East Hartford Jets","3725","David Raymond","1","0","","3","","","1","2","","","","","1","","","","","","","","","","","","","","","","","","lineup","0","",""
